name                                         | address                                                | email                          | phone              | opening_hours                                                                                  | latitude          | longitude
12 - Karma Food                              | Ausstellungsstr. 63, 1020 Wien, Österreich             | hallo@12.co.at                 | +43 676 914 8012   | Mo-Fr 9-17, Sa 9-15                                                                            | 48.2181676        | 16.4078821
12 - Karma Food                              | Laurenzerberg 3, 1010 Wien, Österreich                 | hallo@12.co.at                 | +43 676 913 8012   | Mo-Fr 11-15                                                                                    | 48.2109296        | 16.3778659
1683 Handmade Bagels & Farm Coffee           | Währinger Str. 12, 1090 Wien, Österreich               |                                | +43 664 2639936    | Mo-Fr 7:30-18:30, Sa-Ft 9:30-18:30                                                             | 48.2167778        | 16.3600738
Achtundzwanzig                               | Schlösselgasse 28, 1080 Wien, Österreich               |                                | +43 664 562 3786   | Mo-Fr 16-1, Sa 18-2                                                                            | 48.2145523        | 16.3532458
Adamah Biohof                                | Glinzendorf 7, 2282 Glinzendorf, Österreich            |                                | +43 2248 2224      |                                                                                                | 48.2466401        | 16.6427625
Allergiker Café                              | Wiedner Hauptstr. 35, 1040 Wien, Österreich            | kontakt@allergikercafe.at      | +43 660 5371007    | Tu-Fr 9:30-19, Sa 10-16                                                                        | 48.1944784        | 16.3673893
Archäonow                                    | Weihburggasse 21, 1010 Wien, Österreich                |                                | +43 2248 2224      |                                                                                                | 48.2059213        | 16.37517
Arnulf Rainer Museum                         | Josefspl. 5, 2500 Baden, Österreich                    | office@arnulf-rainer-museum.at | +43 2252 209196    | Mo-Su 10-17                                                                                    | 48.0063245        | 16.2337794
Au - Raum für Kunst und Kultur               | Brunnengasse 76, 1160 Wien, Österreich                 |                                |                    | Mo-Th 18-2, Su-Ft 18-2, Fr-Sa 18-4                                                             | 48.2143648        | 16.3371565
Avalon Kultur                                | Pfeilgasse 27, 1080 Wie, Österreichn                   |                                | +43 1 942 5365     | Mo-Fr 17-2, Sa 18-2                                                                            | 48.2089484        | 16.3434956
Bäckerei Felzl                               | Lerchenfelderstr. 99-101, 1070 Wien, Österreich        |                                | +43 1 522 3809     | Mo-Fr 6-19, Sa 6-17, Su-Ft 7-12:30                                                             | 48.2074219        | 16.3435234
Bank Austria Kunstforum Wien                 | Freyung 8, 1010 Wien, Österreich                       |                                | +43 1 5373326      | Sa-Th 10-19, Fr 10-21                                                                          | 48.211486         | 16.3662557
Bao Bar                                      | Zollergasse 2, 1070 Wien, Österreich                   |                                |                    | Mo-Sa 10-20                                                                                    | 48.1992751        | 16.3512409
Baschly 1090                                 | Schwarzspanierstr. 22, 1090 Wien, Österreich           |                                | +43 1 729 7900     | Mo-Th 11-19                                                                                    | 48.2170063        | 16.3589762
